Dataset1,Dataset2,Similarity
BCT_Micro,PLK_Micro,59311.078125
BCT_Micro,FLW_Micro,191871.46875
BCT_Micro,SPT_Micro,156261.75
BCT_Micro,BRD_Micro,163416.265625
BCT_Micro,PLT_VIL_Micro,166998.53125
BCT_Micro,TEX_Micro,125836.0546875
BCT_Micro,CRS_Micro,176059.671875
BCT_Micro,RESISC_Micro,212757.0
BCT_Micro,ACT_40_Micro,164307.96875
BCT_Micro,INS_2_Micro,145246.515625
BCT_Micro,PLT_NET_Micro,169765.03125
BCT_Micro,TEX_DTD_Micro,137922.125
BCT_Micro,APL_Micro,97737.5
BCT_Micro,PNU_Micro,23058.1015625
BCT_Micro,DOG_Micro,168711.890625
BCT_Micro,MED_LF_Micro,173285.96875
BCT_Micro,RSICB_Micro,192867.578125
BCT_Micro,ACT_410_Micro,175681.03125
BCT_Micro,FNG_Micro,180318.484375
BCT_Micro,PLT_DOC_Micro,158639.453125
BCT_Micro,TEX_ALOT_Micro,77279.875
BCT_Micro,AWA_Micro,173169.375
BCT_Micro,INS_Micro,138471.09375
BCT_Micro,RSD_Micro,199191.0
BCT_Micro,PRT_Micro,457644.9375
BCT_Micro,BTS_Micro,115315.328125
PLK_Micro,FLW_Micro,86623.5390625
PLK_Micro,SPT_Micro,61218.02734375
PLK_Micro,BRD_Micro,64325.15625
PLK_Micro,PLT_VIL_Micro,56070.4375
PLK_Micro,TEX_Micro,54975.15625
PLK_Micro,CRS_Micro,74995.609375
PLK_Micro,RESISC_Micro,84213.125
PLK_Micro,ACT_40_Micro,67606.859375
PLK_Micro,INS_2_Micro,54911.30078125
PLK_Micro,PLT_NET_Micro,80456.1484375
PLK_Micro,TEX_DTD_Micro,56046.91796875
PLK_Micro,APL_Micro,26238.8671875
PLK_Micro,PNU_Micro,25428.18359375
PLK_Micro,DOG_Micro,63940.015625
PLK_Micro,MED_LF_Micro,76518.6796875
PLK_Micro,RSICB_Micro,67353.265625
PLK_Micro,ACT_410_Micro,67147.71875
PLK_Micro,FNG_Micro,77897.9609375
PLK_Micro,PLT_DOC_Micro,59369.0
PLK_Micro,TEX_ALOT_Micro,36133.09375
PLK_Micro,AWA_Micro,68270.078125
PLK_Micro,INS_Micro,58381.328125
PLK_Micro,RSD_Micro,73274.6328125
PLK_Micro,PRT_Micro,244258.078125
PLK_Micro,BTS_Micro,42769.296875
FLW_Micro,SPT_Micro,29843.0078125
FLW_Micro,BRD_Micro,24300.396484375
FLW_Micro,PLT_VIL_Micro,38489.27734375
FLW_Micro,TEX_Micro,37309.16015625
FLW_Micro,CRS_Micro,37981.11328125
FLW_Micro,RESISC_Micro,28033.412109375
FLW_Micro,ACT_40_Micro,24805.875
FLW_Micro,INS_2_Micro,28641.42578125
FLW_Micro,PLT_NET_Micro,23162.88671875
FLW_Micro,TEX_DTD_Micro,39557.671875
FLW_Micro,APL_Micro,45388.65625
FLW_Micro,PNU_Micro,105754.375
FLW_Micro,DOG_Micro,25368.88671875
FLW_Micro,MED_LF_Micro,83630.390625
FLW_Micro,RSICB_Micro,35506.09375
FLW_Micro,ACT_410_Micro,30736.4609375
FLW_Micro,FNG_Micro,19841.35546875
FLW_Micro,PLT_DOC_Micro,26865.19140625
FLW_Micro,TEX_ALOT_Micro,60032.44921875
FLW_Micro,AWA_Micro,25941.197265625
FLW_Micro,INS_Micro,26752.05859375
FLW_Micro,RSD_Micro,30805.162109375
FLW_Micro,PRT_Micro,111996.625
FLW_Micro,BTS_Micro,63631.8984375
SPT_Micro,BRD_Micro,22210.390625
SPT_Micro,PLT_VIL_Micro,29482.818359375
SPT_Micro,TEX_Micro,31244.34375
SPT_Micro,CRS_Micro,36278.1171875
SPT_Micro,RESISC_Micro,26593.9453125
SPT_Micro,ACT_40_Micro,22136.49609375
SPT_Micro,INS_2_Micro,20622.2578125
SPT_Micro,PLT_NET_Micro,27210.306640625
SPT_Micro,TEX_DTD_Micro,27047.23046875
SPT_Micro,APL_Micro,31953.40625
SPT_Micro,PNU_Micro,81012.875
SPT_Micro,DOG_Micro,22350.140625
SPT_Micro,MED_LF_Micro,67606.25
SPT_Micro,RSICB_Micro,28581.974609375
SPT_Micro,ACT_410_Micro,22075.84765625
SPT_Micro,FNG_Micro,26663.208984375
SPT_Micro,PLT_DOC_Micro,22974.0546875
SPT_Micro,TEX_ALOT_Micro,40721.7890625
SPT_Micro,AWA_Micro,22809.8359375
SPT_Micro,INS_Micro,22150.83203125
SPT_Micro,RSD_Micro,25641.59765625
SPT_Micro,PRT_Micro,136868.125
SPT_Micro,BTS_Micro,56954.21875
BRD_Micro,PLT_VIL_Micro,19276.669921875
BRD_Micro,TEX_Micro,24074.6953125
BRD_Micro,CRS_Micro,24802.89453125
BRD_Micro,RESISC_Micro,20756.927734375
BRD_Micro,ACT_40_Micro,15166.1005859375
BRD_Micro,INS_2_Micro,17533.21875
BRD_Micro,PLT_NET_Micro,15992.822265625
BRD_Micro,TEX_DTD_Micro,28701.16015625
BRD_Micro,APL_Micro,32830.3984375
BRD_Micro,PNU_Micro,84381.0703125
BRD_Micro,DOG_Micro,16124.57421875
BRD_Micro,MED_LF_Micro,54427.08203125
BRD_Micro,RSICB_Micro,27103.89453125
BRD_Micro,ACT_410_Micro,20490.6484375
BRD_Micro,FNG_Micro,16646.68359375
BRD_Micro,PLT_DOC_Micro,15668.36328125
BRD_Micro,TEX_ALOT_Micro,47230.8671875
BRD_Micro,AWA_Micro,15072.9814453125
BRD_Micro,INS_Micro,17570.71484375
BRD_Micro,RSD_Micro,21388.734375
BRD_Micro,PRT_Micro,111735.171875
BRD_Micro,BTS_Micro,49573.3046875
PLT_VIL_Micro,TEX_Micro,24681.0390625
PLT_VIL_Micro,CRS_Micro,34914.0859375
PLT_VIL_Micro,RESISC_Micro,19627.935546875
PLT_VIL_Micro,ACT_40_Micro,24383.76953125
PLT_VIL_Micro,INS_2_Micro,25660.041015625
